,time,category,field,value,score
246,2025-03-15 20:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
247,2025-03-15 20:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),25.683333333333334,74.0
248,2025-03-15 20:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),20.266666666666666,48.0
250,2025-03-15 20:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
251,2025-03-15 20:00:00+00:00,Thermal comfort,Temperature (°C),19.262316766666668,100.0
252,2025-03-15 21:00:00+00:00,Acoustics,Sound pressure (dB(A)),64.16666666666667,0.1
253,2025-03-15 21:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
255,2025-03-15 21:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),2052.25,5.0
256,2025-03-15 21:00:00+00:00,Air quality,Relative humidity (R.H.) (%),53.3775,83.0
258,2025-03-15 21:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
259,2025-03-15 21:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),101.09166666666667,25.0
260,2025-03-15 21:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),86.7,0.1
262,2025-03-15 21:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
263,2025-03-15 21:00:00+00:00,Thermal comfort,Temperature (°C),20.086483433333335,100.0
264,2025-03-15 22:00:00+00:00,Acoustics,Sound pressure (dB(A)),60.41666666666666,0.1
265,2025-03-15 22:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),7.7787321063394685,100.0
267,2025-03-15 22:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4006.583333333333,0.1
268,2025-03-15 22:00:00+00:00,Air quality,Relative humidity (R.H.) (%),61.04916666666665,44.0
270,2025-03-15 22:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
271,2025-03-15 22:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),174.51666666666665,0.1
272,2025-03-15 22:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),151.76666666666665,0.1
274,2025-03-15 22:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
275,2025-03-15 22:00:00+00:00,Thermal comfort,Temperature (°C),21.334816766666673,73.0
276,2025-03-15 23:00:00+00:00,Acoustics,Sound pressure (dB(A)),60.333333333333336,0.1
277,2025-03-15 23:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),6.059222903885482,100.0
279,2025-03-15 23:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4754.391666666666,0.1
280,2025-03-15 23:00:00+00:00,Air quality,Relative humidity (R.H.) (%),60.75500000000001,46.0
282,2025-03-15 23:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
283,2025-03-15 23:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),170.11666666666667,0.1
284,2025-03-15 23:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),140.86666666666665,0.1
286,2025-03-15 23:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
287,2025-03-15 23:00:00+00:00,Thermal comfort,Temperature (°C),21.917316766666666,44.0
288,2025-03-16 00:00:00+00:00,Acoustics,Sound pressure (dB(A)),52.66666666666666,0.1
289,2025-03-16 00:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),4.974294478527607,100.0
291,2025-03-16 00:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4637.933333333333,0.1
